raw_product_name,last_observed_price,occurrences,reason
DIVA LOTUS LAVENDER &,295.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL SERA FESTIVE NOODLES,310.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LIFEBUOY HEALTH STRONG &,300.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAKLIGHT SOYA CRAYFISH,140.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SUNLIGHT LAVENDER 50G,25.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WIJAYA CHILLI PIECES 500G,840.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RAIGAM MUTHUWARUSA,60.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
JAYAWARDHANA NOODLES,350.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VELVET ROSE PETALS AND,115.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BELLOSE SMOOTH INTENCE,370.50,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AMRITHA JASMINE,160.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SANDU PAPADAM 150G,240.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WHISPER XL + 7,350.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LANKASOY MOJU90g,160.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SIGNAL TRIPLE PROTCTION,355.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DELMA DISH WASH BAR,125.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MOTHA RASPBERRY JELLY,230.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FLOVER PAPER PLATE 6,170.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GILLETTE BLUE || 2,190.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AMINS HENNA,250.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BONITA VALUE PACK,400.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
EDINBARO THAKKALI SAUSE,520.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL ROASTED CURRY 100g,220.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LANKA SOY CHILLI TASTE 50g,70.00,4,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CHANDANALEPA RATHMAL &,125.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAKSHMI CAMPHOR,22.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
HARISCHANDRA NOODLES,280.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WONDERLIGHT KOHOMBA &,105.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAOJI 400g,1140.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AYUSH TOTAL ORAL 110g,285.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SERA CHILLI POWDER 500G,703.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PANDA BABY OLIVE OIL,195.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LIFEBUOY ONION 80ml,250.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ALLI PAPADAM 60G,130.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CHANDANALEPA MILK &,125.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SIDDHALEPA 15G,285.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
NILMA UNIC 275ML,300.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PANDA BABY CREAM WITH,155.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SPONGE 4 IN 1,70.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ALLI THOSAI MIX FLOUR 400G,485.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MILO 200g,560.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LANKA SOY MAALU SOY,160.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KVC TAMATO SAUCE 4.4kg,2400.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MAL PAPADAM SANDALI,130.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VELVET ECO PACK ROSE &,510.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PANDA BABY FLORAL,390.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
NESTLE MILK MAID TIN 510G,890.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AMRITHA SHINY STAR,160.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AMRITHA AMBER,100.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FALCON MAAJA 5L,3200.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GLOW & LOVELY 25G,385.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SMACK CASSAVA HOT AND,300.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DANDEX-COOLING RELIEF,340.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RAIGAM CHICKEN SOYA 70G,115.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CLOGARD CHOOTY,160.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WIJAYA PEPPER POWDER,1250.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WIJAYA JAFFNA CURRY,100.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LIFEBUOY SHAMPOO WITH,300.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WIJAYA CHILLI POWDER 1KG,1580.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MALIBAN ORANGE CREAM,220.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
IODEX HEAD FAST BALM 9G,200.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAXSHA ROASTED CURRY,420.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL SERA CURRY POWDER,427.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DCL INSTANT YEAST 11G,110.00,3,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SUNLIGHT LEMON 50G,25.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MAGGI CHIKEN TIKIRI,75.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SERA SEAFOOD NOODLES,360.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DETTOL- SOAP COOL (BLUE),135.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
JANET REAL PAPAYA NO,425.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GOYA SANDAL TOUCH 65G,90.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GOYA CREAMY BLISS 65G,90.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ANCHOR NON FAT 400G,1200.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAXSHA CHILLI PIECES 1kg,1890.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KUMARIKA SPLIT END,500.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RITIGALA SOYA MEAT 40G,55.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
EDIN MUSTARD CREAM 165G,380.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DETTOL ORIGINAL 70*2 GET 1,280.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ENCHANTER PAPER,250.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MY FRESH GEL POCKET PINK,250.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KEELS KREST CUTTLEFISH,150.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SHELLO VITAMIN E LOTION,440.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PASTRY,45.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
EASY 2 RAZER POUCH,300.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CLOGARD 200g FREE 2,399.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DETTOL- SOAP SKINCARE,135.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MILO 400G,890.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VELVET AVACADO & ARGAN,670.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LEO TAMARIND 200g,300.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MAGGI CURRY NOODLES 73G,120.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PEARS NATURAL KOKUM,360.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
HORLICKS 350G,1100.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL SERA PEPPER POWDER,475.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KVC SAUCE TOMATO 400g,340.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
NIKADO PAPADAM 100g,160.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
JANET ORANGE BLOOM,510.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BIC FLEX 3,420.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PANDA BABY ALOE VERA,195.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SUNSILK THICK AND LONG,635.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RITZBURY CRISPY 45g,140.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PRIME BAKING POWDER 1kg,960.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AMRITHA 2 IN 1 RED,160.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BELLOSE CILICONE HAIR,390.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PRIMA TWIST DRY NOODLES,285.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
HARISCHANDRA HOPPER,250.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
TALAWAKELLE BOPF 200G,600.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL SERA POL KIRI 180ML,165.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RIO JASMINE 1kg,240.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SENSODYNE FRESH GEL 40G,480.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RITZBURY RAVE PARTY TIME,550.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RAIGAM PASTA SHELL 200G,190.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KIDS JOY COTTON BALLS,350.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SUDANTHA TOOTHPASTE,275.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DELMEGE FAMILY NOODLES,230.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RIO LEMON 1kg,240.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BRITOL CINNAMON LIQUID,230.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
EADEN TOMATO SAUCE,290.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
TULIP KADALA PITI 200g,170.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CHAYA WHITE BEAUTY SOAP,105.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CLOGARD- SMART SAVER,185.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAXSHA ROASTED CHILLI,205.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SUN RICH WAFERS VANILA,455.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WHOOLE,80.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LIPTON CYLONTA 200g,690.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GLOW & LOVELY,650.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DREAMRON-SHAMPOO,885.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DENTA ZIG ZAG FAMILY PACK,470.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VASELINE ALOVE FRESH,820.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VELVET- SOAP,165.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PEARS BABY RATHMAL *5+1,690.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BELLOSE INTENSE REPAIR,656.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WHISPER ULTRA XL 15 S,680.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VASELINE PRETTY PEACH,585.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BABY CHERAMY- HERBAL,360.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CECILIYAN TEA 400G,1050.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BELLOSE HAIR LOSS,720.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
STAR DISHWASH TUB 250G,150.00,2,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SANSTHA TEA 1KG,2300.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FORTUNE COCOFINE 1L,1350.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FEMS DRYTEX,230.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VASLINE ADVANCE REPAIR,1020.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
N/S PANDA BABY SHAMPOO,190.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PARACHUTE GOTUKOLA,570.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAK LIGHT MANGO 1KG,1100.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
C COCONUT S,130.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FALCON BANANA FLAVOUR,2790.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CLOREX HIMALAYAN 100ML,150.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GIFFY GREEN 250ML,240.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BELLOSE KERATIN,1800.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DAZZLING LOVERS DREAM,350.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CLOSEUP CLOVE & ORANGE,130.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KOHOMBA HERBAL ANTI-,380.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KVC TREACLE & SYRUP,650.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KVC COCONUT TREACLE,550.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
REXONA PD 50ml + TISSUE,850.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
TIARA COFFIA 40g,80.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PONDS BRIGHT 15g,395.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DIVA ROSE & LIME 200g,90.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
EDIN BEE S HONEY 480g,1800.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KURAKKAN FLOUR 400G,505.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DREAMRON- SILICONE HAIR,700.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SERA PEPPER SEEDS 100G,390.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KEELLS BUY PARTY PACK,1275.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
IMORICH ROCKY ROAD 1L,1280.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
VICKS RUB 25ML,470.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BIO CLEAN TILE AND,460.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SUPER WHITE HEAVY POWER,400.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
MY FRESH GEL POCKET SPO,250.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ZESTA PREMIUM BOPF 250G,900.00,1,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
